game_date,player_name,position,team_abbreviation,matchup,wl,min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct
2024-02-25,Mo Bamba,C,PHI,PHI vs. MIL,L,11,0,3,2,0,0,0,0,1,0.0,0,0,
2024-02-25,Ricky Council IV,G,PHI,PHI vs. MIL,L,7,2,1,1,0,0,0,1,1,1.0,0,0,
2024-02-25,Max Christie,G,LAL,LAL @ PHX,L,5,3,0,1,0,0,0,1,2,0.5,1,2,0.5
2024-02-25,Skylar Mays,G,LAL,LAL @ PHX,L,1,0,1,0,0,0,0,0,0,,0,0,
2024-02-25,Dylan Windler,G-F,LAL,LAL @ PHX,L,1,0,0,1,0,0,0,0,0,,0,0,
2024-02-25,Taurean Prince,F,LAL,LAL @ PHX,L,27,8,1,1,0,0,0,3,10,0.3,2,6,0.333
2024-02-25,Drew Eubanks,F-C,PHX,PHX vs. LAL,W,10,2,1,1,1,2,0,1,2,0.5,0,0,
2024-02-25,Devin Booker,G,PHX,PHX vs. LAL,W,38,21,3,9,1,0,3,8,18,0.444,1,4,0.25
2024-02-25,Grayson Allen,G,PHX,PHX vs. LAL,W,38,24,2,0,1,1,2,8,17,0.471,6,12,0.5
2024-02-25,Jusuf Nurkic,C,PHX,PHX vs. LAL,W,37,18,22,7,1,1,3,7,12,0.583,0,0,
2024-02-25,Kevin Durant,F,PHX,PHX vs. LAL,W,39,22,5,7,0,2,3,7,20,0.35,2,8,0.25
2024-02-25,Austin Reaves,G,LAL,LAL @ PHX,L,35,14,4,4,1,0,2,5,12,0.417,2,7,0.286
2024-02-25,D'Angelo Russell,G,LAL,LAL @ PHX,L,37,20,3,7,1,1,2,8,14,0.571,4,8,0.5
2024-02-25,Anthony Davis,F-C,LAL,LAL @ PHX,L,42,22,14,0,3,2,3,11,17,0.647,0,0,
2024-02-25,LeBron James,F,LAL,LAL @ PHX,L,37,28,7,12,2,1,3,12,19,0.632,3,6,0.5
2024-02-25,Rui Hachimura,F,LAL,LAL @ PHX,L,26,13,4,0,0,0,0,5,9,0.556,2,2,1.0
2024-02-25,Bol Bol,C-F,PHX,PHX vs. LAL,W,24,11,4,1,0,2,0,5,9,0.556,1,4,0.25
2024-02-25,Spencer Dinwiddie,G,LAL,LAL @ PHX,L,23,3,0,2,0,0,0,1,5,0.2,1,4,0.25
2024-02-25,Saben Lee,G,PHX,PHX vs. LAL,W,9,5,3,2,0,0,0,1,3,0.333,1,2,0.5
2024-02-25,David Roddy,F,PHX,PHX vs. LAL,W,1,0,1,0,0,0,0,0,0,,0,0,
2024-02-25,Nassir Little,F-G,PHX,PHX vs. LAL,W,1,0,0,0,0,0,0,0,0,,0,0,
2024-02-25,Jaxson Hayes,C-F,LAL,LAL @ PHX,L,6,2,0,0,0,0,0,1,2,0.5,0,0,
2024-02-25,Josh Okogie,G,PHX,PHX vs. LAL,W,5,0,1,1,0,0,1,0,0,,0,0,
2024-02-25,Royce O'Neale,F,PHX,PHX vs. LAL,W,37,20,9,4,2,1,0,7,12,0.583,6,10,0.6
2024-02-25,Chuma Okeke,F,ORL,ORL @ ATL,L,2,0,1,0,0,0,0,0,0,,0,0,
2024-02-25,Jonathan Isaac,F,ORL,ORL @ ATL,L,2,0,1,0,0,0,0,0,0,,0,0,
2024-02-25,Clint Capela,C,ATL,ATL vs. ORL,W,17,4,7,0,0,0,1,2,8,0.25,0,0,
2024-02-25,Goga Bitadze,C-F,ORL,ORL @ ATL,L,19,2,5,2,0,3,1,1,5,0.2,0,1,0.0
2024-02-25,Markelle Fultz,G,ORL,ORL @ ATL,L,12,3,4,1,0,1,1,1,5,0.2,0,1,0.0
2024-02-25,Moritz Wagner,F-C,ORL,ORL @ ATL,L,13,2,5,1,1,1,2,1,2,0.5,0,1,0.0
2024-02-25,Caleb Houstan,G,ORL,ORL @ ATL,L,21,12,2,0,0,0,0,4,9,0.444,4,9,0.444
2024-02-25,Garrison Mathews,G,ATL,ATL vs. ORL,W,17,3,2,0,0,0,0,1,4,0.25,1,4,0.25
2024-02-25,Darius Bazley,F,PHI,PHI vs. MIL,L,4,0,0,1,0,0,0,0,1,0.0,0,0,
2024-02-25,Patrick Beverley,G,MIL,MIL @ PHI,W,18,3,0,2,1,0,0,1,5,0.2,1,5,0.2
2024-02-25,Damian Lillard,G,MIL,MIL @ PHI,W,36,24,7,9,2,0,5,8,15,0.533,4,8,0.5
2024-02-25,Malik Beasley,G,MIL,MIL @ PHI,W,32,20,2,1,0,0,1,7,9,0.778,6,7,0.857
2024-02-25,Pat Connaughton,G,MIL,MIL @ PHI,W,22,7,5,1,0,2,1,3,4,0.75,1,2,0.5
2024-02-25,Giannis Antetokounmpo,F,MIL,MIL @ PHI,W,36,30,12,9,0,1,6,10,17,0.588,1,2,0.5
2024-02-25,Brook Lopez,C,MIL,MIL @ PHI,W,32,11,7,3,0,5,2,4,9,0.444,1,4,0.25
2024-02-25,Paul Reed,F,PHI,PHI vs. MIL,L,27,13,8,1,0,2,3,6,13,0.462,1,2,0.5
2024-02-25,Tyrese Maxey,G,PHI,PHI vs. MIL,L,38,24,3,7,3,0,1,8,19,0.421,3,8,0.375
2024-02-25,De'Anthony Melton,G,PHI,PHI vs. MIL,L,18,16,3,3,2,0,0,5,12,0.417,4,8,0.5
2024-02-25,Kelly Oubre Jr.,F-G,PHI,PHI vs. MIL,L,29,12,9,2,3,0,3,5,15,0.333,1,5,0.2
2024-02-25,Nicolas Batum,G-F,PHI,PHI vs. MIL,L,17,6,1,0,1,0,0,2,5,0.4,2,5,0.4
2024-02-25,Tobias Harris,F,PHI,PHI vs. MIL,L,31,8,8,0,1,3,0,3,11,0.273,0,3,0.0
2024-02-25,Kyle Lowry,G,PHI,PHI vs. MIL,L,21,3,2,3,2,0,1,1,2,0.5,1,2,0.5
2024-02-25,Bobby Portis,F,MIL,MIL @ PHI,W,19,17,5,1,1,2,2,7,11,0.636,3,4,0.75
2024-02-25,Jae Crowder,F,MIL,MIL @ PHI,W,25,0,8,3,1,0,1,0,4,0.0,0,3,0.0
2024-02-25,Anthony Black,G,ORL,ORL @ ATL,L,27,4,8,1,0,0,3,1,7,0.143,1,3,0.333
2024-02-25,Jalen Suggs,G,ORL,ORL @ ATL,L,28,14,2,6,2,1,3,6,10,0.6,2,4,0.5
2024-02-25,Jalen Johnson,F,ATL,ATL vs. ORL,W,39,21,10,7,1,2,0,9,19,0.474,2,5,0.4
2024-02-25,Franz Wagner,F,ORL,ORL @ ATL,L,33,19,8,5,1,0,2,7,16,0.438,2,6,0.333
2024-02-25,Saddiq Bey,G-F,ATL,ATL vs. ORL,W,35,12,2,1,1,0,2,5,11,0.455,2,5,0.4
2024-02-25,Cole Anthony,G,ORL,ORL @ ATL,L,30,15,3,3,1,2,3,6,16,0.375,2,6,0.333
2024-02-25,De'Andre Hunter,F-G,ATL,ATL vs. ORL,W,28,18,7,2,2,0,1,5,8,0.625,2,3,0.667
2024-02-25,Dejounte Murray,G,ATL,ATL vs. ORL,W,39,25,9,11,2,0,3,11,20,0.55,2,5,0.4
2024-02-25,Bogdan Bogdanovic,G,ATL,ATL vs. ORL,W,36,17,5,3,1,0,1,5,11,0.455,3,5,0.6
2024-02-25,Wendell Carter Jr.,C-F,ORL,ORL @ ATL,L,34,18,10,1,1,1,3,7,12,0.583,2,5,0.4
2024-02-25,Joe Ingles,F-G,ORL,ORL @ ATL,L,19,3,2,3,1,0,0,1,2,0.5,1,2,0.5
2024-02-25,Bruno Fernando,F-C,ATL,ATL vs. ORL,W,19,7,1,4,2,0,0,2,5,0.4,0,0,
2024-02-25,Kobe Bufkin,G,ATL,ATL vs. ORL,W,11,2,1,3,1,1,1,1,4,0.25,0,2,0.0
2024-02-25,Terry Taylor,F,CHI,CHI @ NOP,W,7,2,2,0,0,0,0,1,1,1.0,0,0,
2024-02-25,Julian Phillips,F,CHI,CHI @ NOP,W,2,0,0,0,0,0,0,0,0,,0,0,
2024-02-25,Jerami Grant,F,POR,POR vs. CHA,L,32,15,2,5,2,0,5,6,18,0.333,1,6,0.167
2024-02-25,Miles Bridges,F,CHA,CHA @ POR,W,40,18,10,1,1,0,4,8,18,0.444,2,6,0.333
2024-02-25,Cody Martin,F,CHA,CHA @ POR,W,31,11,6,10,2,1,2,4,8,0.5,1,3,0.333
2024-02-25,Ashton Hagans,G-F,POR,POR vs. CHA,L,11,3,3,1,0,0,1,1,4,0.25,0,0,
2024-02-25,JT Thor,F,CHA,CHA @ POR,W,5,0,1,0,0,0,0,0,0,,0,0,
2024-02-25,Dalano Banton,F,POR,POR vs. CHA,L,9,7,6,0,0,0,0,3,6,0.5,1,2,0.5
2024-02-25,Bryce McGowens,G,CHA,CHA @ POR,W,21,4,4,1,0,1,0,1,3,0.333,0,1,0.0
2024-02-25,Justin Minaya,F,POR,POR vs. CHA,L,3,0,0,1,0,0,0,0,1,0.0,0,1,0.0
2024-02-25,Toumani Camara,F,POR,POR vs. CHA,L,18,0,3,1,0,0,0,0,4,0.0,0,3,0.0
2024-02-25,Duop Reath,C,POR,POR vs. CHA,L,13,7,1,0,0,1,0,3,5,0.6,1,3,0.333
2024-02-25,Vasilije Micic,G,CHA,CHA @ POR,W,24,11,2,7,2,0,0,5,6,0.833,1,2,0.5
2024-02-25,Anfernee Simons,G,POR,POR vs. CHA,L,35,10,4,0,0,0,4,4,21,0.19,0,8,0.0
2024-02-25,Deandre Ayton,C,POR,POR vs. CHA,L,37,26,19,2,1,1,2,11,16,0.688,0,0,
2024-02-25,Matisse Thybulle,G-F,POR,POR vs. CHA,L,31,0,4,0,6,2,0,0,3,0.0,0,2,0.0
2024-02-25,Grant Williams,F,CHA,CHA @ POR,W,24,5,2,1,0,1,3,1,4,0.25,1,3,0.333
2024-02-25,Nick Richards,C,CHA,CHA @ POR,W,33,21,10,0,2,3,0,8,11,0.727,0,0,
2024-02-25,Tre Mann,G,CHA,CHA @ POR,W,25,6,2,3,3,0,0,2,7,0.286,1,3,0.333
2024-02-25,Jabari Walker,F,POR,POR vs. CHA,L,18,6,5,0,0,0,1,3,8,0.375,0,3,0.0
2024-02-25,Kris Murray,F,POR,POR vs. CHA,L,33,6,9,4,2,0,2,2,9,0.222,0,4,0.0
2024-02-25,Brandon Miller,F,CHA,CHA @ POR,W,38,17,4,1,2,0,5,8,18,0.444,1,6,0.167
2024-02-25,P.J. Tucker,F,LAC,LAC vs. SAC,L,5,0,0,0,0,0,0,0,1,0.0,0,0,
2024-02-25,Kawhi Leonard,F,LAC,LAC vs. SAC,L,36,20,8,3,4,1,3,7,18,0.389,0,3,0.0
2024-02-25,Harrison Barnes,F,SAC,SAC @ LAC,W,36,22,2,1,1,0,1,8,12,0.667,4,7,0.571
2024-02-25,Norman Powell,G,LAC,LAC vs. SAC,L,37,21,2,2,1,0,1,8,17,0.471,5,9,0.556
2024-02-25,Domantas Sabonis,F-C,SAC,SAC @ LAC,W,36,17,15,12,3,0,1,7,17,0.412,0,1,0.0
2024-02-25,Ivica Zubac,C,LAC,LAC vs. SAC,L,33,16,6,2,1,0,4,8,9,0.889,0,0,
2024-02-25,Kevin Huerter,G-F,SAC,SAC @ LAC,W,25,15,3,2,0,0,1,6,10,0.6,3,6,0.5
2024-02-25,Brandon Boston Jr.,G,LAC,LAC vs. SAC,L,1,0,0,0,0,0,0,0,0,,0,0,
2024-02-25,Kessler Edwards,F,SAC,SAC @ LAC,W,1,0,0,0,0,0,0,0,0,,0,0,
2024-02-25,Davion Mitchell,G,SAC,SAC @ LAC,W,18,6,0,1,0,0,0,2,3,0.667,2,3,0.667
2024-02-25,Bilal Coulibaly,G,WAS,WAS vs. CLE,L,6,3,1,1,0,0,1,1,1,1.0,0,0,
2024-02-25,Dean Wade,F-C,CLE,CLE @ WAS,W,8,0,1,1,0,0,0,0,1,0.0,0,1,0.0
2024-02-25,Sam Merrill,G,CLE,CLE @ WAS,W,6,2,2,1,0,0,0,1,3,0.333,0,2,0.0
2024-02-25,Johnny Davis,G,WAS,WAS vs. CLE,L,16,2,2,0,0,0,0,1,3,0.333,0,2,0.0
2024-02-25,Richaun Holmes,F,WAS,WAS vs. CLE,L,15,11,7,0,0,0,2,4,6,0.667,0,0,
2024-02-25,Georges Niang,F,CLE,CLE @ WAS,W,17,8,4,0,1,0,0,3,6,0.5,2,4,0.5
2024-02-25,Isaac Okoro,F-G,CLE,CLE @ WAS,W,19,7,1,2,2,0,0,2,6,0.333,1,4,0.25
2024-02-25,Jared Butler,G,WAS,WAS vs. CLE,L,12,2,0,2,0,0,0,1,4,0.25,0,3,0.0
2024-02-25,Patrick Baldwin Jr.,F,WAS,WAS vs. CLE,L,9,2,3,1,0,0,0,1,2,0.5,0,1,0.0
2024-02-25,Max Strus,G-F,CLE,CLE @ WAS,W,27,3,3,5,0,0,2,0,3,0.0,0,3,0.0
2024-02-25,Donovan Mitchell,G,CLE,CLE @ WAS,W,36,16,4,5,1,0,3,4,10,0.4,3,6,0.5
2024-02-25,Darius Garland,G,CLE,CLE @ WAS,W,33,17,2,7,1,0,3,6,15,0.4,3,9,0.333
2024-02-25,Caris LeVert,G,CLE,CLE @ WAS,W,28,18,12,8,0,0,0,6,10,0.6,1,3,0.333
2024-02-25,Evan Mobley,C,CLE,CLE @ WAS,W,29,21,6,1,1,5,1,9,11,0.818,0,0,
2024-02-25,Landry Shamet,G,WAS,WAS vs. CLE,L,37,15,5,2,3,0,0,6,15,0.4,3,8,0.375
2024-02-25,Tyus Jones,G,WAS,WAS vs. CLE,L,35,3,1,11,1,0,1,1,4,0.25,1,1,1.0
2024-02-25,Kyle Kuzma,F,WAS,WAS vs. CLE,L,39,27,6,5,1,1,2,10,24,0.417,2,10,0.2
2024-02-25,Jarrett Allen,C,CLE,CLE @ WAS,W,37,22,12,5,0,1,1,11,18,0.611,0,0,
2024-02-25,Marvin Bagley III,F,WAS,WAS vs. CLE,L,33,9,10,2,0,1,1,4,10,0.4,0,2,0.0
2024-02-25,Keegan Murray,F,SAC,SAC @ LAC,W,37,11,8,1,1,1,1,4,11,0.364,3,7,0.429
2024-02-25,Chris Duarte,G,SAC,SAC @ LAC,W,16,4,2,0,2,0,0,1,3,0.333,1,3,0.333
2024-02-25,Terance Mann,G-F,LAC,LAC vs. SAC,L,39,14,6,4,0,0,2,6,7,0.857,1,2,0.5
2024-02-25,Amir Coffey,G-F,LAC,LAC vs. SAC,L,20,0,2,1,0,0,0,0,2,0.0,0,0,
2024-02-25,Daniel Theis,F-C,LAC,LAC vs. SAC,L,14,8,6,1,0,1,1,4,5,0.8,0,1,0.0
2024-02-25,Malik Monk,G,SAC,SAC @ LAC,W,28,12,2,5,0,0,1,4,11,0.364,2,6,0.333
2024-02-25,De'Aaron Fox,G,SAC,SAC @ LAC,W,33,33,6,7,3,0,3,12,22,0.545,0,4,0.0
2024-02-25,Trey Lyles,F,SAC,SAC @ LAC,W,11,3,3,0,0,0,2,1,2,0.5,0,0,
2024-02-25,James Harden,G,LAC,LAC vs. SAC,L,35,20,5,8,0,0,3,4,13,0.308,2,10,0.2
2024-02-25,Russell Westbrook,G,LAC,LAC vs. SAC,L,18,8,4,2,1,0,1,3,10,0.3,0,2,0.0
2024-02-25,Collin Sexton,G,UTA,UTA vs. SAS,W,27,16,2,10,4,0,4,4,9,0.444,0,0,
2024-02-25,Malaki Branham,F,SAS,SAS @ UTA,L,28,14,2,2,0,0,0,5,12,0.417,2,6,0.333
2024-02-25,Alperen Sengun,C,HOU,HOU vs. OKC,L,29,19,12,2,1,1,6,6,12,0.5,1,3,0.333
2024-02-25,Fred VanVleet,G,HOU,HOU vs. OKC,L,38,20,3,3,1,0,4,7,16,0.438,4,10,0.4
2024-02-25,Aaron Wiggins,G,OKC,OKC @ HOU,W,15,0,2,0,1,1,0,0,2,0.0,0,1,0.0
2024-02-25,Isaiah Joe,G,OKC,OKC @ HOU,W,17,5,3,0,3,0,1,2,5,0.4,1,3,0.333
2024-02-25,Cason Wallace,G,OKC,OKC @ HOU,W,19,6,2,1,0,2,0,2,7,0.286,2,5,0.4
2024-02-25,Gordon Hayward,F,OKC,OKC @ HOU,W,12,0,4,2,0,0,1,0,3,0.0,0,0,
2024-02-25,Cam Whitmore,F,HOU,HOU vs. OKC,L,17,12,3,0,1,1,2,4,9,0.444,1,4,0.25
2024-02-25,Jeff Green,F,HOU,HOU vs. OKC,L,16,2,0,1,0,0,0,1,3,0.333,0,2,0.0
2024-02-25,Amen Thompson,G-F,HOU,HOU vs. OKC,L,21,6,6,1,2,3,1,2,10,0.2,0,2,0.0
2024-02-25,Jaylin Williams,F,OKC,OKC @ HOU,W,12,5,5,1,0,0,0,2,4,0.5,1,3,0.333
2024-02-25,Kenrich Williams,G-F,OKC,OKC @ HOU,W,5,2,1,0,0,0,0,1,1,1.0,0,0,
2024-02-25,Jock Landale,C,HOU,HOU vs. OKC,L,1,0,0,0,0,0,0,0,0,,0,0,
2024-02-25,Coby White,G,CHI,CHI @ NOP,W,37,16,7,3,2,0,1,5,18,0.278,2,9,0.222
2024-02-25,Alex Caruso,G,CHI,CHI @ NOP,W,32,12,3,2,2,0,0,5,13,0.385,2,9,0.222
2024-02-25,Zion Williamson,F,NOP,NOP vs. CHI,L,33,19,8,11,0,2,3,9,15,0.6,0,0,
2024-02-25,Brandon Ingram,F,NOP,NOP vs. CHI,L,39,22,3,6,3,1,9,7,16,0.438,2,6,0.333
2024-02-25,Herbert Jones,F,NOP,NOP vs. CHI,L,39,15,3,6,0,1,0,5,10,0.5,4,6,0.667
2024-02-25,Jordan Hawkins,G,NOP,NOP vs. CHI,L,15,8,1,0,0,0,1,3,7,0.429,2,5,0.4
2024-02-25,DeMar DeRozan,G-F,CHI,CHI @ NOP,W,40,24,6,7,0,0,2,6,13,0.462,2,4,0.5
2024-02-25,Ayo Dosunmu,G,CHI,CHI @ NOP,W,39,21,3,8,3,0,1,8,15,0.533,3,6,0.5
2024-02-25,Nikola Vucevic,C,CHI,CHI @ NOP,W,34,22,13,3,1,0,3,10,19,0.526,2,5,0.4
2024-02-25,Jonas Valanciunas,C,NOP,NOP vs. CHI,L,28,14,17,0,0,1,0,7,15,0.467,0,3,0.0
2024-02-25,Trey Murphy III,F,NOP,NOP vs. CHI,L,37,9,10,2,1,1,0,3,11,0.273,3,9,0.333
2024-02-25,Dalen Terry,F,CHI,CHI @ NOP,W,15,2,4,3,2,0,1,1,4,0.25,0,1,0.0
2024-02-25,Jeremiah Robinson-Earl,F,NOP,NOP vs. CHI,L,11,3,0,0,1,1,1,1,2,0.5,1,2,0.5
2024-02-25,Andre Drummond,C,CHI,CHI @ NOP,W,14,7,8,1,0,0,0,2,5,0.4,0,0,
2024-02-25,Matt Ryan,F,NOP,NOP vs. CHI,L,19,14,4,0,0,0,1,5,10,0.5,4,9,0.444
2024-02-25,Jevon Carter,G,CHI,CHI @ NOP,W,20,8,3,2,2,0,1,3,7,0.429,2,6,0.333
2024-02-25,Larry Nance Jr.,F-C,NOP,NOP vs. CHI,L,19,2,3,0,0,0,4,0,2,0.0,0,1,0.0
2024-02-25,Chet Holmgren,C-F,OKC,OKC @ HOU,W,33,29,8,7,1,3,2,11,16,0.688,5,8,0.625
2024-02-25,Jalen Williams,G-F,OKC,OKC @ HOU,W,36,22,4,5,0,0,0,9,22,0.409,2,6,0.333
2024-02-25,Lauri Markkanen,F-C,UTA,UTA vs. SAS,W,32,26,7,4,2,1,1,10,18,0.556,5,8,0.625
2024-02-25,Jordan Clarkson,G,UTA,UTA vs. SAS,W,33,22,2,10,0,0,1,8,17,0.471,4,8,0.5
2024-02-25,John Collins,F-C,UTA,UTA vs. SAS,W,27,20,8,1,2,2,1,6,11,0.545,3,6,0.5
2024-02-25,Brice Sensabaugh,F,UTA,UTA vs. SAS,W,16,5,3,1,0,0,1,2,3,0.667,1,1,1.0
2024-02-25,Victor Wembanyama,F-C,SAS,SAS @ UTA,L,27,22,10,2,1,5,4,9,17,0.529,1,3,0.333
2024-02-25,Walker Kessler,C,UTA,UTA vs. SAS,W,19,10,6,2,0,3,2,4,5,0.8,0,0,
2024-02-25,Sandro Mamukelashvili,F-C,SAS,SAS @ UTA,L,14,8,1,1,2,0,0,4,5,0.8,0,0,
2024-02-25,Tre Jones,G,SAS,SAS @ UTA,L,30,15,3,9,1,0,3,5,6,0.833,3,4,0.75
2024-02-25,Devin Vassell,G-F,SAS,SAS @ UTA,L,34,27,9,5,0,3,6,10,19,0.526,4,8,0.5
2024-02-25,Kris Dunn,G,UTA,UTA vs. SAS,W,20,8,2,1,4,0,3,3,3,1.0,1,1,1.0
2024-02-25,Keyonte George,G,UTA,UTA vs. SAS,W,30,7,3,6,1,1,3,3,13,0.231,1,4,0.25
2024-02-25,Taylor Hendricks,F,UTA,UTA vs. SAS,W,26,9,3,0,0,1,0,4,8,0.5,1,5,0.2
2024-02-25,Jeremy Sochan,F,SAS,SAS @ UTA,L,29,1,4,3,1,1,0,0,5,0.0,0,1,0.0
2024-02-25,Blake Wesley,G,SAS,SAS @ UTA,L,18,0,2,5,0,0,0,0,2,0.0,0,0,
2024-02-25,Julian Champagnie,F,SAS,SAS @ UTA,L,20,2,6,4,2,1,1,1,6,0.167,0,4,0.0
2024-02-25,Johnny Juzang,G,UTA,UTA vs. SAS,W,3,0,0,0,0,0,0,0,1,0.0,0,1,0.0
2024-02-25,Omer Yurtseven,C,UTA,UTA vs. SAS,W,3,3,1,0,0,0,0,1,1,1.0,1,1,1.0
2024-02-25,Kira Lewis Jr.,G,UTA,UTA vs. SAS,W,3,2,1,1,0,0,0,1,1,1.0,0,0,
2024-02-25,Luka Samanic,F,UTA,UTA vs. SAS,W,3,0,0,0,0,0,1,0,0,,0,0,
2024-02-25,Keldon Johnson,F-G,SAS,SAS @ UTA,L,4,0,0,0,0,0,0,0,0,,0,0,
2024-02-25,Zach Collins,F-C,SAS,SAS @ UTA,L,21,17,8,3,1,1,2,7,17,0.412,2,3,0.667
2024-02-25,Cedi Osman,F,SAS,SAS @ UTA,L,15,3,1,0,0,0,4,1,2,0.5,1,2,0.5
2024-02-25,Josh Giddey,G,OKC,OKC @ HOU,W,23,2,9,5,3,1,1,1,5,0.2,0,0,
2024-02-25,Jabari Smith Jr.,F,HOU,HOU vs. OKC,L,41,20,17,4,1,0,1,6,15,0.4,4,9,0.444
2024-02-25,Jalen Green,G,HOU,HOU vs. OKC,L,32,11,7,4,0,2,2,5,13,0.385,1,5,0.2
2024-02-25,Aaron Holiday,G,HOU,HOU vs. OKC,L,11,7,0,1,0,0,1,3,5,0.6,1,1,1.0
2024-02-25,Dillon Brooks,G-F,HOU,HOU vs. OKC,L,33,13,2,2,0,0,1,4,10,0.4,4,5,0.8
2024-02-25,Luguentz Dort,G,OKC,OKC @ HOU,W,32,16,5,2,1,0,0,5,9,0.556,4,6,0.667
2024-02-25,Shai Gilgeous-Alexander,G,OKC,OKC @ HOU,W,37,36,5,7,3,1,4,13,23,0.565,2,3,0.667
2024-02-25,Jordan Poole,G,WAS,WAS vs. CLE,L,38,31,5,5,1,0,2,11,21,0.524,6,13,0.462
2024-02-24,Moritz Wagner,F-C,ORL,ORL @ DET,W,17,14,7,1,1,0,0,6,9,0.667,0,0,
2024-02-24,Mike Conley,G,MIN,MIN vs. BKN,W,30,14,3,3,1,0,1,5,10,0.5,4,8,0.5
2024-02-24,Payton Pritchard,G,BOS,BOS @ NYK,W,15,2,2,2,1,0,1,1,3,0.333,0,1,0.0
2024-02-24,Precious Achiuwa,F,NYK,NYK vs. BOS,L,34,8,9,1,0,1,1,4,8,0.5,0,2,0.0
2024-02-24,Jalen Brunson,G,NYK,NYK vs. BOS,L,38,34,3,9,1,0,4,12,25,0.48,4,9,0.444
2024-02-24,Luke Kornet,C-F,BOS,BOS @ NYK,W,10,2,2,0,0,0,0,1,1,1.0,0,0,
2024-02-24,Josh Hart,G,NYK,NYK vs. BOS,L,42,16,8,6,0,0,3,6,10,0.6,2,5,0.4
2024-02-24,Jayson Tatum,F-G,BOS,BOS @ NYK,W,43,19,6,6,2,1,4,7,15,0.467,2,8,0.25
2024-02-24,Bojan Bogdanovic,F,NYK,NYK vs. BOS,L,19,8,0,0,0,0,1,2,7,0.286,1,4,0.25
2024-02-24,Alec Burks,G,NYK,NYK vs. BOS,L,19,7,3,0,0,0,1,3,11,0.273,1,7,0.143
2024-02-24,Jrue Holiday,G,BOS,BOS @ NYK,W,35,12,1,6,2,1,1,5,10,0.5,2,6,0.333
2024-02-24,Al Horford,C-F,BOS,BOS @ NYK,W,26,10,7,0,0,1,0,5,7,0.714,0,0,
2024-02-24,Derrick White,G,BOS,BOS @ NYK,W,32,13,3,6,2,0,0,5,8,0.625,3,5,0.6
2024-02-24,Jacob Toppin,F,NYK,NYK vs. BOS,L,1,0,0,0,0,0,0,0,0,,0,0,
2024-02-24,Jericho Sims,C,NYK,NYK vs. BOS,L,14,0,2,0,0,0,0,0,0,,0,0,
2024-02-24,Sam Hauser,F,BOS,BOS @ NYK,W,10,6,3,0,0,0,0,2,2,1.0,2,2,1.0
2024-02-24,Miles McBride,G,NYK,NYK vs. BOS,L,16,11,3,1,0,0,1,5,7,0.714,1,2,0.5
2024-02-24,Jaden Springer,G,BOS,BOS @ NYK,W,1,0,0,0,0,0,0,0,0,,0,0,
2024-02-24,DaQuan Jeffries,G-F,NYK,NYK vs. BOS,L,1,0,0,0,0,0,0,0,1,0.0,0,1,0.0
2024-02-24,Donte DiVincenzo,G,NYK,NYK vs. BOS,L,32,12,4,0,0,1,0,4,12,0.333,4,8,0.5
2024-02-24,Isaiah Hartenstein,C-F,NYK,NYK vs. BOS,L,24,6,7,4,0,1,2,1,1,1.0,0,0,
2024-02-24,Jaylen Brown,G-F,BOS,BOS @ NYK,W,35,30,8,3,1,0,0,13,24,0.542,3,9,0.333
2024-02-24,Kristaps Porzingis,F-C,BOS,BOS @ NYK,W,32,22,4,4,0,1,1,7,11,0.636,3,4,0.75
2024-02-24,Paolo Banchero,F,ORL,ORL @ DET,W,29,15,5,3,0,2,0,5,17,0.294,0,2,0.0
2024-02-24,Anthony Black,G,ORL,ORL @ DET,W,22,5,2,0,1,1,0,2,6,0.333,1,3,0.333
2024-02-24,Malachi Flynn,G,DET,DET vs. ORL,L,17,8,1,3,1,0,1,3,6,0.5,1,2,0.5
2024-02-24,James Wiseman,C,DET,DET vs. ORL,L,15,5,4,2,0,1,0,1,2,0.5,0,0,
2024-02-24,Quentin Grimes,G,DET,DET vs. ORL,L,26,5,2,4,2,1,1,2,8,0.25,1,5,0.2
2024-02-24,Troy Brown Jr.,G-F,DET,DET vs. ORL,L,13,3,3,0,0,0,1,1,4,0.25,1,3,0.333
2024-02-24,Joe Ingles,F-G,ORL,ORL @ DET,W,16,0,1,2,0,0,1,0,3,0.0,0,1,0.0
2024-02-24,Evan Fournier,G-F,DET,DET vs. ORL,L,19,13,3,1,1,0,0,5,7,0.714,2,3,0.667
2024-02-24,Jonathan Isaac,F,ORL,ORL @ DET,W,20,12,6,0,2,1,0,5,7,0.714,2,2,1.0
2024-02-24,Ausar Thompson,G-F,DET,DET vs. ORL,L,21,8,2,0,0,0,3,4,4,1.0,0,0,
2024-02-24,Simone Fontecchio,F,DET,DET vs. ORL,L,31,17,3,5,1,0,0,7,13,0.538,3,5,0.6
2024-02-24,Jalen Duren,C,DET,DET vs. ORL,L,33,16,11,3,1,4,1,6,7,0.857,0,0,
2024-02-24,Jaden Ivey,G,DET,DET vs. ORL,L,34,8,0,7,0,1,2,3,14,0.214,2,6,0.333
2024-02-24,Cade Cunningham,G,DET,DET vs. ORL,L,31,26,7,4,1,0,3,11,20,0.55,4,7,0.571
