game_date,player_name,position,team_abbreviation,matchup,wl,min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct
2024-04-12,Talen Horton-Tucker,G,UTA,UTA @ LAC,W,29,12,1,4,0,0,2,5,12,0.417,0,5,0.0
2024-04-12,Terance Mann,G-F,LAC,LAC vs. UTA,L,5,5,1,0,0,0,0,2,2,1.0,1,1,1.0
2024-04-12,Daniel Theis,F-C,LAC,LAC vs. UTA,L,27,14,7,0,0,2,1,6,9,0.667,0,2,0.0
2024-04-12,Ivica Zubac,C,LAC,LAC vs. UTA,L,10,10,2,0,0,1,0,5,6,0.833,0,0,
2024-04-12,Norman Powell,G,LAC,LAC vs. UTA,L,16,4,1,1,0,0,0,2,7,0.286,0,3,0.0
2024-04-12,Mason Plumlee,F-C,LAC,LAC vs. UTA,L,14,3,4,2,0,0,2,1,2,0.5,0,0,
2024-04-12,Paul George,F,LAC,LAC vs. UTA,L,8,10,1,1,1,1,1,3,5,0.6,2,3,0.667
2024-04-12,James Harden,G,LAC,LAC vs. UTA,L,10,4,0,5,0,0,1,1,4,0.25,0,2,0.0
2024-04-12,Russell Westbrook,G,LAC,LAC vs. UTA,L,9,4,0,0,0,0,1,2,4,0.5,0,0,
2024-04-12,P.J. Tucker,F,LAC,LAC vs. UTA,L,21,0,5,0,1,0,0,0,1,0.0,0,1,0.0
2024-04-12,Brandin Podziemski,G,GSW,GSW vs. NOP,L,23,5,7,1,0,1,1,2,4,0.5,1,3,0.333
2024-04-12,Dyson Daniels,G,NOP,NOP @ GSW,W,26,6,8,7,2,1,0,2,4,0.5,1,1,1.0
2024-04-12,Jose Alvarado,G,NOP,NOP @ GSW,W,35,4,3,2,1,0,0,1,5,0.2,1,5,0.2
2024-04-12,Moses Moody,G,GSW,GSW vs. NOP,L,19,9,3,1,0,0,0,4,7,0.571,1,2,0.5
2024-04-12,Trey Murphy III,F,NOP,NOP @ GSW,W,42,24,8,2,1,0,1,8,12,0.667,6,9,0.667
2024-04-12,Zion Williamson,F,NOP,NOP @ GSW,W,37,26,3,3,6,1,2,11,26,0.423,1,2,0.5
2024-04-12,CJ McCollum,G,NOP,NOP @ GSW,W,38,28,5,5,0,2,3,10,21,0.476,8,13,0.615
2024-04-12,Draymond Green,F,GSW,GSW vs. NOP,L,36,0,12,11,1,1,2,0,0,,0,0,
2024-04-12,Klay Thompson,G,GSW,GSW vs. NOP,L,38,19,6,1,1,2,2,6,19,0.316,3,9,0.333
2024-04-12,Chris Paul,G,GSW,GSW vs. NOP,L,28,9,4,6,2,0,1,4,9,0.444,1,3,0.333
2024-04-12,Trayce Jackson-Davis,F,GSW,GSW vs. NOP,L,22,10,11,2,1,0,1,5,7,0.714,0,0,
2024-04-12,Herbert Jones,F,NOP,NOP @ GSW,W,38,13,5,4,1,1,1,5,10,0.5,2,5,0.4
2024-04-12,Jeremiah Robinson-Earl,F,NOP,NOP @ GSW,W,7,3,1,0,0,0,0,1,3,0.333,1,2,0.5
2024-04-12,Kevon Looney,F,GSW,GSW vs. NOP,L,8,6,2,0,0,1,0,2,3,0.667,0,0,
2024-04-12,Bruno Fernando,F-C,ATL,ATL @ MIN,L,22,14,5,2,0,0,2,6,9,0.667,0,0,
2024-04-12,Trae Young,G,ATL,ATL @ MIN,L,27,19,2,7,1,0,2,6,12,0.5,3,7,0.429
2024-04-12,Jaylin Williams,F,OKC,OKC vs. MIL,W,16,10,2,2,1,0,1,4,8,0.5,2,5,0.4
2024-04-12,Jalen Williams,G-F,OKC,OKC vs. MIL,W,27,17,2,5,1,1,1,7,12,0.583,1,3,0.333
2024-04-12,Olivier Sarr,C,OKC,OKC vs. MIL,W,4,0,1,0,0,0,0,0,0,,0,0,
2024-04-12,MarJon Beauchamp,F,MIL,MIL @ OKC,L,8,7,2,1,0,1,0,3,4,0.75,1,2,0.5
2024-04-12,Lindy Waters III,F,OKC,OKC vs. MIL,W,6,6,1,2,0,0,1,2,3,0.667,2,3,0.667
2024-04-12,Kenrich Williams,G-F,OKC,OKC vs. MIL,W,14,5,3,1,1,0,0,2,2,1.0,1,1,1.0
2024-04-12,Malik Beasley,G,MIL,MIL @ OKC,L,30,17,2,2,0,0,2,7,10,0.7,3,5,0.6
